"Ministry","City/country","Name","Address","Latitude","Longitude"
"Ministry of Finance","Taipei City","FirstBank_Yongchun","No.297-1, Sec.5, Zhongxiao E. Rd., Xinyi Dist., Taipei City 11066, Taiwan (R.O.C)","25.0411201","121.5731869"
"Ministry of Finance","Taipei City","Business Center Branch, Hua Nan Commercial Bank","1F., No.123, Songren Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)","25.034367","121.568416"
"Public Construction Commission, Executive Yuan","Taipei City","11F, Reception Area","11F., No.3 Songren Rd., Taipei City, Taiwan (R.O.C.)","25.040096","121.568677"
"Ministry of Economic Affairs","Taipei City","Marketing Business Division, Marketing Office, CPC Corporation","17F No.3 Songren Rd., Sinyi District,Taipei City 110, Taiwan (R.O.C.)","25.040096","121.568677"
"Ministry of Economic Affairs","Taipei City","CPC headquarter Reception Area, CPC Corporation","1F No.3 Songren Rd., Sinyi District,Taipei City 110, Taiwan (R.O.C.)","25.040096","121.568677"
"Ministry of Economic Affairs","Taipei City","CPC headquarter Kwo-Kwang Conference Hall , CPC Corporation","1F., No.3, Songren Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)","25.040096","121.568677"
"Ministry of Economic Affairs","Taipei City","CPC headquarter Saloon, CPC Corporation","5F No.3 Songren Rd., Sinyi District,Taipei City 110, Taiwan (R.O.C.)","25.040096","121.568677"
"Public Construction Commission, Executive Yuan","Taipei City","9F, Reception Area","9F., No.3 Songren Rd., Taipei City, Taiwan (R.O.C.)","25.040096","121.568677"
"Ministry of Finance","Taipei City","Sungnan Branch of Land Bank","1F., No.130, Songshan Rd., Sinyi District, Taipei City 11090, Taiwan (R.O.C.)","25.0475429","121.577583"
"Ministry of Transportation and Communications","Taipei City","Taipei Sinyi Post Office","No.76, Songlian Rd., Sinyi Dist., Taipei 110-58, Taiwan (R.O.C.)","25.033783","121.567412"
"Ministry of Finance","Taipei City","Tungtaipei Branch of Land Bank","1F., No.107, Songde Rd., Sinyi District, Taipei City 11075, Taiwan (R.O.C.)","25.0378099","121.57583"
"Ministry of Transportation and Communications","Taipei City","WuFenPu Post Office","No.300-1, Songde Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)","25.03195","121.574138"
"Ministry of Finance","Taipei City","FirstBank_Xingya","No.167, Yongji Rd., Xinyi Dist., Taipei City 11063, Taiwan (R.O.C)","25.04584","121.57146"
"Ministry of Transportation and Communications","Taipei City","Taipei Yongji Post Office","No.168, Yongji Rd., Sinyi Dist., Taipei 110-70, Taiwan (R.O.C.)","25.0455179","121.5710606"
"Ministry of Transportation and Communications","Taipei City","Taipei Wusing Post Office","No.418-1, Jhuangjing Rd., Sinyi Dist., Taipei 110-50, Taiwan (R.O.C.)","25.027166","121.566355"
"Ministry of Transportation and Communications","Taipei City","Taipei Yisian Post Office","No.46, Yisian Rd., Sinyi Dist., Taipei 110-71, Taiwan (R.O.C.)","25.040346","121.561762"
